招待状
拝啓　　　
半世紀　　　　　　
勝手ながら　
つきましては　
見会を行いたいと思います。
察する　    
１
にべもなく　
意地を張る　
次第に　　　
疎遠　　　　
儀式　　　　
勤務先　　　
合弁　　　　
家庭円満　　
証拠　　　　
保障　　　　
要件　　　　
目を奪われる　
望みを叶える　
唐突　　　　　
好景気　　　　
都心　　　　　
家庭崩壊　　　
景気　　　　　
頭を下げる　　
なかば　　　　　
購入　　　　　
昇進　　　　　
致命傷　　　　
転勤　　　　　
身を乗り出す　　
知らん顔　　　
迫る　　　　　
故郷　　　　　
立ち寄る　　　
目と鼻の先　　有名な美術館は大学の目と鼻の先にある。
放っておく　　疲れているときは放っておいてほしい。
むしろ　　　　　悩んでいるより、むしろ、何かを始めた方が楽かもしれない。
手放す　　　　　景気が悪くなってとうとう店を手放した。
感心　　　　　　毎日公園のそうじをしているなんて感心な高校生だ。
あわただしく　　毎日があわただしく過ぎていく。　
開演　　　　　　音楽会の開演は７時だ。
当たり前　　　　悪いことをしたら謝るのは当たり前のことだ。
偶然　　　　　　町で偶然、小学校時代の友達に出会った。
歩み寄る　　　　両方の会社が歩み寄り、契約の条件を決めた。
自信　　　　　　勝てる自信はないが、できるだけ頑張ってみようと思う。
風采　　　　　　芸術家らしい風采の男性が現われた。
たたずまい　　　この美術館は落ち着いたたたずまいだ。
抜け出る　　　　彼女はまるでファッション雑誌から抜け出てきたような女性だ。
幼なじみ　　　　幼なじみと久しぶりに会って、昔話をした。
そっくりそのまま　昔住んでいた家がそっくりそのまま残っていたのでびっくりした。
口にする　　　　腹が立ってつい意地悪な言葉を口にしてしまうことがある。
きょとんとする　何の話か分からなかったようで、友達はきょとんとしていた。
饒舌　　　　　　彼はお酒を飲むと饒舌になるから周りの人が大変だ。
介抱　　　　　　風邪を引いたとき彼女が介抱してくれて嬉しかった。
奇遇　　　　　　奇遇なことに友達の夫が私の弟の友達だということが分かった。
経緯　　　　　　事件の経緯について質問する。
悠々自適　　　　彼は定年後は悠々自適の生活を送っている。
冥利につきる　　学生が喜んでくれることは教師の冥利につきる。　
封切　　　　　　新しい映画の封切りは来月だ。
憧れ　　　　　　憧れのパリに旅行する予定だ。
俯く　　　　　　彼女が俯くと長いまつげが美しい。
５
死角　　　　　運転するとき死角に特に気をつけなければならない。
ぎっしりと　　箱を開けたら、チョコレートがぎっしりと詰まっていた。
このうえなく　叔父にはこのうえなくお世話になった。
満ちる　　　　日本では四月は希望に満ちた季節だと言える。
呟く　　　　　隣の人が何か呟いたようだがよく聞こえなかった。
咳払い　　　　咳払いをして遠くにいる友達に合図を送った。
気をつけ　　　気をつけの姿勢で先生の話を聞いた。
肝心　　　　　語学は続けることが肝心だ。
つれあい　　　つれあいとはもう３０年も一緒に暮らしている。
伝統　　　　　新しいものを取り入れながらも伝統を大事にする国は素晴らしいと思う。
世間　        日本人は一般的に 世間の目を気にする。
顔向け　　　　今、仕事を辞めてしまったら、育ててくれた親に顔向けできない。
食いしばる　　苦しかったが、歯を食いしばって頑張った。
監督　　　　　この映画の監督は世界的に有名だ。
上映時間　　　映画の上映時間は７時から９時までだ。
心がこもる　　誕生日に彼女は手作りの心がこもったプレゼントをくれた。
拍手　　　　　同級生の勇気ある行動に皆拍手をした。
微笑む　　　　彼ははしゃぐ彼女を見てやさしく微笑んだ。
通夜　　　　　通夜が行われ、友人たちは亡くなった友達の思い出を話した。
生涯　　　　　日本での経験は生涯忘れることはないだろう。
贅沢　　　　　給料が入ったのですし屋でちょっと贅沢な食事をした。
しみじみと　　彼は懐かしいふるさとについてしみじみと語った。　
天才　　　　　モーツアルトはやはり天才だ。
